HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'719FF3D	Load_Currents	_Currents	R16038	A14.5			<>	<>	<>	<>	<>	<>	<>
'719FF57	Fault_Currents	_Fault Currents	R16038	<>	<>	<>	292	124	Wipeout ON	<>	<>	<>	<>
'719FF80	Load_Currents	_Currents	R158	A27.4	B16.3	C13.4	<>	<>	<>	<>	<>	<>	<>
'719FF9A	Fault_Currents	_Fault Currents	R158	<>	<>	<>	500	140	Wipeout ON	<>	<>	<>	<>
'719FFB9	Load_Currents	_Currents	R155	A26.1	B12.0		<>	<>	<>	<>	<>	<>	<>
'719FFD3	Fault_Currents	_Fault Currents	R155	<>	<>	<>	448	140	Wipeout ON	<>	<>	<>	<>
'71A0016	Load_Currents	_Currents	R18455	C7.6			<>	<>	<>	<>	<>	<>	<>
'71A0030	Fault_Currents	_Fault Currents	R18455	<>	<>	<>	590	160	Wipeout ON	<>	<>	<>	<>
'71A004F	Load_Currents	_Currents	R154	A65.8	B34.3	C19.7	<>	<>	<>	<>	<>	<>	<>
'71A0069	Fault_Currents	_Fault Currents	R154	<>	<>	<>	727	159	Wipeout ON	<>	<>	<>	<>
'71A0087	Load_Currents	_Currents	R18859	B2.4	C4.5		<>	<>	<>	<>	<>	<>	<>
'71A00A1	Fault_Currents	_Fault Currents	R18859	<>	<>	<>	197	91	Wipeout ON	<>	<>	<>	<>
'71A00C0	Load_Currents	_Currents	R18858	C3.2			<>	<>	<>	<>	<>	<>	<>
'71A00DA	Fault_Currents	_Fault Currents	R18858	<>	<>	<>	266	118	Wipeout ON	<>	<>	<>	<>
'71A0118	Voltage_Box	_Voltages	RG22202	<>	<>	<>	<>	<>	Wipeout On	106.6	30.9	-	15.4
'71A0141	Load_Currents	_Currents	R1494	A21.6			<>	<>	<>	<>	<>	<>	<>
'71A015B	Fault_Currents	_Fault Currents	R1494	<>	<>	<>	270	119	Wipeout ON	<>	<>	<>	<>
'71A017A	Load_Currents	_Currents	R14835	A9.1	B10.6	C8.1	<>	<>	<>	<>	<>	<>	<>
'71A0194	Fault_Currents	_Fault Currents	R14835	<>	<>	<>	408	125	Wipeout ON	<>	<>	<>	<>
'71A01B3	Load_Currents	_Currents	R135	C5.4			<>	<>	<>	<>	<>	<>	<>
'71A01CD	Fault_Currents	_Fault Currents	R135	<>	<>	<>	524	142	Wipeout ON	<>	<>	<>	<>
'71A01E2	Load_Currents	_Currents	R6336	A20.4	B27.4	C11.1	<>	<>	<>	<>	<>	<>	<>
'71A01FC	Fault_Currents	_Fault Currents	R6336	<>	<>	<>	370	120	Wipeout ON	<>	<>	<>	<>
'71A0225	Load_Currents	_Currents	R137	A11.7			<>	<>	<>	<>	<>	<>	<>
'71A023F	Fault_Currents	_Fault Currents	R137	<>	<>	<>	275	115	Wipeout ON	<>	<>	<>	<>
'71A025E	Load_Currents	_Currents	R15235	C5.3			<>	<>	<>	<>	<>	<>	<>
'71A0278	Fault_Currents	_Fault Currents	R15235	<>	<>	<>	600	147	Wipeout ON	<>	<>	<>	<>
'71A028D	Load_Currents	_Currents	R693	B16.7			<>	<>	<>	<>	<>	<>	<>
