HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'719FF3D	Load_Currents	_Currents	R16038	A55.5	B14.7	C14.5	<>	<>	<>	<>	<>	<>	<>
'719FF57	Fault_Currents	_Fault Currents	R16038	<>	<>	<>	10	14	Wipeout ON	<>	<>	<>	<>
'719FF80	Load_Currents	_Currents	R158	A53.1	B12.5	C27.4	<>	<>	<>	<>	<>	<>	<>
'719FF9A	Fault_Currents	_Fault Currents	R158	<>	<>	<>	3	12	Wipeout ON	<>	<>	<>	<>
'719FFB9	Load_Currents	_Currents	R155	A53.2	B12.5	C26.1	<>	<>	<>	<>	<>	<>	<>
'719FFD3	Fault_Currents	_Fault Currents	R155	<>	<>	<>	18	12	Wipeout ON	<>	<>	<>	<>
'71A0016	Load_Currents	_Currents	R18455	A22.5	B8.9		<>	<>	<>	<>	<>	<>	<>
'71A0030	Fault_Currents	_Fault Currents	R18455	<>	<>	<>	0	8	Wipeout ON	<>	<>	<>	<>
'71A004F	Load_Currents	_Currents	R154	A47.3	B9.0	C65.8	<>	<>	<>	<>	<>	<>	<>
'71A0069	Fault_Currents	_Fault Currents	R154	<>	<>	<>	31	9	Wipeout ON	<>	<>	<>	<>
'71A0087	Load_Currents	_Currents	R18859	A33.1	B21.3		<>	<>	<>	<>	<>	<>	<>
'71A00A1	Fault_Currents	_Fault Currents	R18859	<>	<>	<>	0	21	Wipeout ON	<>	<>	<>	<>
'71A00C0	Load_Currents	_Currents	R18858	A24.9	B15.6		<>	<>	<>	<>	<>	<>	<>
'71A00DA	Fault_Currents	_Fault Currents	R18858	<>	<>	<>	0	15	Wipeout ON	<>	<>	<>	<>
'71A0118	Voltage_Box	_Voltages	RG22202	<>	<>	<>	<>	<>	Wipeout On	  |	BARING	251.0	106.6
'71A0141	Load_Currents	_Currents	R1494	A56.7	B15.4	C21.6	<>	<>	<>	<>	<>	<>	<>
'71A015B	Fault_Currents	_Fault Currents	R1494	<>	<>	<>	0	15	Wipeout ON	<>	<>	<>	<>
'71A017A	Load_Currents	_Currents	R14835	A6.1	B7.1	C9.1	<>	<>	<>	<>	<>	<>	<>
'71A0194	Fault_Currents	_Fault Currents	R14835	<>	<>	<>	9	7	Wipeout ON	<>	<>	<>	<>
'71A01B3	Load_Currents	_Currents	R135	A5.2	B4.8		<>	<>	<>	<>	<>	<>	<>
'71A01CD	Fault_Currents	_Fault Currents	R135	<>	<>	<>	0	4	Wipeout ON	<>	<>	<>	<>
'71A01E2	Load_Currents	_Currents	R6336	A10.2	B7.8	C20.4	<>	<>	<>	<>	<>	<>	<>
'71A01FC	Fault_Currents	_Fault Currents	R6336	<>	<>	<>	14	7	Wipeout ON	<>	<>	<>	<>
'71A0225	Load_Currents	_Currents	R137	A10.7	B8.8	C11.7	<>	<>	<>	<>	<>	<>	<>
'71A023F	Fault_Currents	_Fault Currents	R137	<>	<>	<>	10	8	Wipeout ON	<>	<>	<>	<>
'71A025E	Load_Currents	_Currents	R15235	A3.9	B4.2		<>	<>	<>	<>	<>	<>	<>
'71A0278	Fault_Currents	_Fault Currents	R15235	<>	<>	<>	0	4	Wipeout ON	<>	<>	<>	<>
'71A028D	Load_Currents	_Currents	R693	A17.0	B9.4		<>	<>	<>	<>	<>	<>	<>
'71A02A7	Fault_Currents	_Fault Currents	R693	<>	<>	<>	0	9	Wipeout ON	<>	<>	<>	<>
'71A02BC	Load_Currents	_Currents	R132	A4.0	B3.1	C10.2	<>	<>	<>	<>	<>	<>	<>
'71A02D6	Fault_Currents	_Fault Currents	R132	<>	<>	<>	10	3	Wipeout ON	<>	<>	<>	<>
'71A02F5	Load_Currents	_Currents	R15234	A4.1	B3.2	C31.5	<>	<>	<>	<>	<>	<>	<>
'71A030F	Fault_Currents	_Fault Currents	R15234	<>	<>	<>	25	3	Wipeout ON	<>	<>	<>	<>
'71A0338	Load_Currents	_Currents	R5525	A3.1	B2.2		<>	<>	<>	<>	<>	<>	<>
'71A0352	Fault_Currents	_Fault Currents	R5525	<>	<>	<>	0	2	Wipeout ON	<>	<>	<>	<>
'71A0371	Voltage_Box	_Voltages	PC136033	<>	<>	<>	<>	<>	Wipeout On	  |	BARING	286.0	113.1
'71A03A4	Load_Currents	_Currents	R138	A15.5	B12.7		<>	<>	<>	<>	<>	<>	<>
'71A03BE	Fault_Currents	_Fault Currents	R138	<>	<>	<>	0	15	Wipeout ON	<>	<>	<>	<>
'71A03DD	Load_Currents	_Currents	R139	A10.2	B16.0		<>	<>	<>	<>	<>	<>	<>
'71A03F7	Fault_Currents	_Fault Currents	R139	<>	<>	<>	0	11	Wipeout ON	<>	<>	<>	<>
'71A040C	Load_Currents	_Currents	R140	A17.2	B17.9	C2.2	<>	<>	<>	<>	<>	<>	<>
'71A0426	Fault_Currents	_Fault Currents	R140	<>	<>	<>	2	9	Wipeout ON	<>	<>	<>	<>
'71A0488	Load_Currents	_Currents	R16437	A2.5	B4.1	C23.0	<>	<>	<>	<>	<>	<>	<>
'71A04A2	Fault_Currents	_Fault Currents	R16437	<>	<>	<>	26	4	Wipeout ON	<>	<>	<>	<>
'71A04C1	Load_Currents	_Currents	R143	A2.4	B4.0	C5.2	<>	<>	<>	<>	<>	<>	<>
'71A04DB	Fault_Currents	_Fault Currents	R143	<>	<>	<>	0	4	Wipeout ON	<>	<>	<>	<>
'71A04FA	Load_Currents	_Currents	R142	A0.6	B3.4		<>	<>	<>	<>	<>	<>	<>
'71A0514	Fault_Currents	_Fault Currents	R142	<>	<>	<>	0	3	Wipeout ON	<>	<>	<>	<>
'71AA0A7	Voltage_Box	_Voltages	RG20060	<>	<>	<>	<>	<>	Wipeout On	  |	BARING	495.0	109.2
'71AA0D1	Load_Currents	_Currents	R16440	A17.2	B6.3	C18.0	<>	<>	<>	<>	<>	<>	<>
'71AA0EB	Fault_Currents	_Fault Currents	R16440	<>	<>	<>	16	6	Wipeout ON	<>	<>	<>	<>
'71AA114	Load_Currents	_Currents	R293	A17.2	B6.2	C11.2	<>	<>	<>	<>	<>	<>	<>
'71AA12E	Fault_Currents	_Fault Currents	R293	<>	<>	<>	10	6	Wipeout ON	<>	<>	<>	<>
'71AA143	Load_Currents	_Currents	R144	A7.3	B2.2		<>	<>	<>	<>	<>	<>	<>
'71AA15D	Fault_Currents	_Fault Currents	R144	<>	<>	<>	0	2	Wipeout ON	<>	<>	<>	<>
'71AA186	Load_Currents	_Currents	R16439	A12.0	B2.4	C28.7	<>	<>	<>	<>	<>	<>	<>
'71AA1A0	Fault_Currents	_Fault Currents	R16439	<>	<>	<>	26	2	Wipeout ON	<>	<>	<>	<>
'71AA1BF	Load_Currents	_Currents	R1093	A12.3	B2.5	C229.6	<>	<>	<>	<>	<>	<>	<>
'71AA1D9	Fault_Currents	_Fault Currents	R1093	<>	<>	<>	136	2	Wipeout ON	<>	<>	<>	<>
'71AA1F8	Load_Currents	_Currents	R15237	A14.8	B4.5		<>	<>	<>	<>	<>	<>	<>
'71AA212	Fault_Currents	_Fault Currents	R15237	<>	<>	<>	0	4	Wipeout ON	<>	<>	<>	<>
'71AA230	Load_Currents	_Currents	R1493	A20.9	B6.3		<>	<>	<>	<>	<>	<>	<>
