HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST	{DYNPARAM} Visibility1	MAX	MIN
'70CB6C3	Load_Currents	_Currents	OCR_B5-30/.5	A35.1	B21.5	C19.1	<>	<>	<>	<>	<>	<>	<>
'70CB6C9	Load_Currents	_Currents	OCR_B5-29/.5	A38.1	B53.5	C62.2	<>	<>	<>	<>	<>	<>	<>
'70CB6CF	Load_Currents	_Currents	OCR_B5-29-2/.5	A31.4	B6.2	C18.4	<>	<>	<>	<>	<>	<>	<>
'70CB6D5	Load_Currents	_Currents	OCR_16B/.5	A30.3	B55.4	C5.8	<>	<>	<>	<>	<>	<>	<>
'70CB6DB	Load_Currents	_Currents	OCR_16D/.5	A43.7	B20.5	C51.8	<>	<>	<>	<>	<>	<>	<>
'70CB6E1	Load_Currents	_Currents	OCR_B27-11/.5	A29.6	B11.6	C24.6	<>	<>	<>	<>	<>	<>	<>
'70CB6E7	Load_Currents	_Currents	OCR_16A/.5	A42.7	B26.0	C15.6	<>	<>	<>	<>	<>	<>	<>
'70CB6ED	Load_Currents	_Currents	OCR_12F/.5	A4.7	B5.7	C1.5	<>	<>	<>	<>	<>	<>	<>
'70CB6F3	Load_Currents	_Currents	OCR_12A/.5	A69.0	B75.5	C69.9	<>	<>	<>	<>	<>	<>	<>
'70CB6F9	Load_Currents	_Currents	OCR_19D/.5	A79.5	B64.0	C75.2	<>	<>	<>	<>	<>	<>	<>
'70CB6FF	Load_Currents	_Currents	OCR_B/.5	A39.8	B52.5	C26.4	<>	<>	<>	<>	<>	<>	<>
'70CB705	Load_Currents	_Currents	OCR_19B/.5	A90.5	B118.8	C98.1	<>	<>	<>	<>	<>	<>	<>
'70CB70B	Load_Currents	_Currents	OCR_A6-7/.5	A39.9	B25.4	<>	<>	<>	<>	<>	<>	<>	<>
'70CB711	Load_Currents	_Currents	OCR_15B/.5	A17.8	B26.8	C8.0	<>	<>	<>	<>	<>	<>	<>
'70CB71D	Load_Currents	_Currents	OCR_15C/.5	A30.0	B-13.6	C39.0	<>	<>	<>	<>	<>	<>	<>
'70CB723	Load_Currents	_Currents	OCR_23D/.5	A11.5	B11.2	C13.1	<>	<>	<>	<>	<>	<>	<>
'70CB729	Load_Currents	_Currents	OCR_23A/.5	A321.2	B321.2	C321.2	<>	<>	<>	<>	<>	<>	<>
'70CB72F	Load_Currents	_Currents	OCR_23B/.5	A24.1	B39.1	C35.9	<>	<>	<>	<>	<>	<>	<>
'70CB735	Load_Currents	_Currents	OCR_B1-4/.5	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70CB73B	Load_Currents	_Currents	OCR_P/.5	A99.5	B84.3	C73.9	<>	<>	<>	<>	<>	<>	<>
'70CB741	Load_Currents	_Currents	OCR_D/.5	A73.9	B122.8	C94.9	<>	<>	<>	<>	<>	<>	<>
'70CB747	Load_Currents	_Currents	OCR_E/.5	A99.8	B86.5	C44.7	<>	<>	<>	<>	<>	<>	<>
'70CB74D	Load_Currents	_Currents	OCR_G/.5	A62.8	B34.3	C24.2	<>	<>	<>	<>	<>	<>	<>
'70CB753	Load_Currents	_Currents	OCR_D18/44.5	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70CB759	Load_Currents	_Currents	OCR_D15-4/.5	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70CB75F	Load_Currents	_Currents	OCR_D15-4-3/.5	A123.7	B96.6	C138.2	<>	<>	<>	<>	<>	<>	<>
'70CB765	Load_Currents	_Currents	OCR_B28/57.5	A54.2	B76.7	C43.6	<>	<>	<>	<>	<>	<>	<>
'70CB76B	Load_Currents	_Currents	OCR_B303/.5	A13.6	B45.8	C12.3	<>	<>	<>	<>	<>	<>	<>
'70CB771	Load_Currents	_Currents	OCR_B28/58.5	A141.3	B67.3	C63.8	<>	<>	<>	<>	<>	<>	<>
'70CB777	Load_Currents	_Currents	OCR_C15-8/.5	A78.9	B50.7	C-27.2	<>	<>	<>	<>	<>	<>	<>
'70CB77D	Load_Currents	_Currents	OCR_C15/57.5	A40.6	B90.3	C80.3	<>	<>	<>	<>	<>	<>	<>
'70CB783	Load_Currents	_Currents	OCR_C15/58.5	A12.4	B85.7	C4.1	<>	<>	<>	<>	<>	<>	<>
'70CB789	Load_Currents	_Currents	OCR_14D/.5	A130.2	B108.6	C136.9	<>	<>	<>	<>	<>	<>	<>
'70CB78F	Load_Currents	_Currents	OCR_14B/.5	A17.5	B16.7	C48.4	<>	<>	<>	<>	<>	<>	<>
'70CB795	Load_Currents	_Currents	OCR_14A/.5	A25.5	B29.0	C38.5	<>	<>	<>	<>	<>	<>	<>
'70CB79B	Load_Currents	_Currents	OCR_D/153.5	A110.7	B92.9	C85.2	<>	<>	<>	<>	<>	<>	<>
'70CB7A1	Load_Currents	_Currents	OCR_18C/.5	A43.8	B78.3	C33.6	<>	<>	<>	<>	<>	<>	<>
'70CB7A7	Load_Currents	_Currents	OCR_18B/.5	A10.7	B1.6	C6.5	<>	<>	<>	<>	<>	<>	<>
'70CB7AD	Load_Currents	_Currents	OCR_D16/.5	B3.7	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70CB7B3	Load_Currents	_Currents	OCR_D34-7/.5	C45.1	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70CB7B9	Load_Currents	_Currents	OCR_D34/65.5	A82.7	B106.8	C58.1	<>	<>	<>	<>	<>	<>	<>
'70CB7BF	Load_Currents	_Currents	OCR_D34/66.5	A90.0	B69.8	C52.8	<>	<>	<>	<>	<>	<>	<>
'70CB7C5	Load_Currents	_Currents	OCR_24A/.5	A202.2	B212.3	C198.9	<>	<>	<>	<>	<>	<>	<>
'70CB7CB	Load_Currents	_Currents	OCR_24H/.5	A169.7	B217.1	C243.0	<>	<>	<>	<>	<>	<>	<>
'70CB7D1	Load_Currents	_Currents	OCR_24C/.5	A163.8	B107.5	C73.0	<>	<>	<>	<>	<>	<>	<>
'70CB7D7	Load_Currents	_Currents	OCR_24B/.5	A8.2	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70CB7DD	Load_Currents	_Currents	OCR_A/.5	A84.0	B85.7	C109.0	<>	<>	<>	<>	<>	<>	<>
'70CB7E3	Load_Currents	_Currents	OCR_4D/.5	A56.6	B44.4	C27.6	<>	<>	<>	<>	<>	<>	<>
'70CB7E9	Load_Currents	_Currents	OCR_A59/.5	A14.3	B18.9	C39.4	<>	<>	<>	<>	<>	<>	<>
'70CB7EF	Load_Currents	_Currents	Prarie State Sub	A18.7	B26.5	C9.3	<>	<>	<>	<>	<>	<>	<>
'70CB7F5	Load_Currents	_Currents	Waltonville North	A37.4	B14.5	C52.9	<>	<>	<>	<>	<>	<>	<>
'70CB7FB	Load_Currents	_Currents	Waltonville East	A5.7	B26.0	C14.5	<>	<>	<>	<>	<>	<>	<>
'70CB801	Load_Currents	_Currents	Waltonville West	A8.4	B38.0	C21.1	<>	<>	<>	<>	<>	<>	<>
'70CB807	Load_Currents	_Currents	Waltonville South	A21.8	B17.7	C22.7	<>	<>	<>	<>	<>	<>	<>
'70CB80D	Load_Currents	_Currents	OCR_3A/.5	A42.9	B157.0	C71.8	<>	<>	<>	<>	<>	<>	<>
'70CB813	Load_Currents	_Currents	OCR_3B/.5	A-12.5	B-13.0	C13.7	<>	<>	<>	<>	<>	<>	<>
'70CB819	Load_Currents	_Currents	OCR_3C/.5	A24.7	B22.7	C57.5	<>	<>	<>	<>	<>	<>	<>
'70CB81F	Load_Currents	_Currents	OCR_3D/.5	A43.9	B60.3	C101.8	<>	<>	<>	<>	<>	<>	<>
