HANDLE	BLOCKNAME	LAYER	DEVICE	MAX	MIN	{DYNPARAM} Visibility1	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST
'70D69E5	Fault_Currents	_Fault Currents	59-24'75	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D6A3E	Load_Currents	_Currents	59-24'75	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D6AB4	Fault_Currents	_Fault Currents	span_5586	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D6ACE	Load_Currents	_Currents	span_5586	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D6B12	Load_Currents	_Currents	span_5777	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D6B66	Fault_Currents	_Fault Currents	span_5777	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D6BDC	Fault_Currents	_Fault Currents	57-15-83	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D6BF6	Load_Currents	_Currents	57-15-83	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D6C3A	Load_Currents	_Currents	57-15-13	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D6C8C	Fault_Currents	_Fault Currents	57-14-88	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D6CE8	Fault_Currents	_Fault Currents	57-15-13	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D6D37	Load_Currents	_Currents	57-11-01	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D6D89	Fault_Currents	_Fault Currents	57-11-01	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D6DCD	Load_Currents	_Currents	57-04-431	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D6E1F	Fault_Currents	_Fault Currents	57-04-431	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
